comparison,n,mean,std,min,max,mean_r,ci_low_r,ci_high_r,mean_z,ci_low_z,ci_high_z,t_stat,p_value
intra:vdvae:emonet:alpha_-4_vs_alpha_0,982,0.6711094975471497,0.13997016847133636,0.1397036910057068,0.958550751209259,0.6976345404741092,0.6884529187429388,0.7065925916905085,0.8626773488331265,0.8450087427336994,0.8803459549325536,95.81430466446902,0.0
intra:vdvae:emonet:alpha_-2_vs_alpha_0,982,0.8201492428779602,0.0949917733669281,0.4368929862976074,0.9835676550865173,0.8434350640710532,0.8375926642664958,0.8490845517020588,1.232957571402501,1.2130520309340174,1.2528631118709845,121.5509630154347,0.0
intra:vdvae:emonet:alpha_+2_vs_alpha_0,979,0.8339154124259949,0.1019502580165863,-0.2885630428791046,0.9860239028930664,0.8574164666179455,0.8518593667905857,0.8627805531931265,1.2835068887910628,1.262891714744995,1.3041220628371306,122.17914730329379,0.0
intra:vdvae:emonet:alpha_+4_vs_alpha_0,952,0.6627994179725647,0.16235792636871338,-0.3509080410003662,0.9495016932487488,0.69365034329876,0.6834552906217908,0.7035748580205776,0.8549571632153982,0.8355695936925333,0.8743447327382631,86.54104936574474,0.0
intra:vdvae:memnet:alpha_-4_vs_alpha_0,853,0.4331749379634857,0.20041194558143616,-0.508811891078949,0.8932257294654846,0.45677428874637654,0.4425135159030086,0.470804092575193,0.49322748553074297,0.47535205442348244,0.5111029166380036,54.15720285072516,4.0076968113928267e-278
intra:vdvae:memnet:alpha_-2_vs_alpha_0,970,0.7482368350028992,0.11741793900728226,-0.2614147961139679,0.9717105031013489,0.7726803867597963,0.7651801004543349,0.7799709709987035,1.0269455039354838,1.0085945843350506,1.045296423535917,109.81975110185033,0.0
intra:vdvae:memnet:alpha_+2_vs_alpha_0,982,0.7827889919281006,0.09744980186223984,0.1325182318687439,0.9650803804397583,0.8012225308075849,0.7953733289323722,0.8069225154715453,1.1020174716839075,1.085890529921526,1.118144413446289,134.0975083534471,0.0
intra:vdvae:memnet:alpha_+4_vs_alpha_0,982,0.5774251818656921,0.15498696267604828,-0.2563331127166748,0.9145628213882446,0.598287016253629,0.5885130294532354,0.6078861501967867,0.6904749285143051,0.6753881498678496,0.7055617071607607,89.81226339198393,0.0
intra:versatile_diffusion:emonet:alpha_-4_vs_alpha_0,982,0.11858352273702621,0.1558876484632492,-0.23442070186138153,0.7443607449531555,0.12270269867221809,0.11246620621516205,0.1329131494708682,0.12332412408866554,0.11294401950726438,0.1337042286700667,23.314738913159225,5.10532602904943e-96
intra:versatile_diffusion:emonet:alpha_-2_vs_alpha_0,982,0.46208107471466064,0.15574617683887482,0.09286488592624664,0.8732795715332031,0.4800569177231756,0.46922133165861035,0.49074797263297826,0.5230582377575453,0.5090713595876666,0.5370451159274241,73.3860479339991,0.0
