comparison,n,mean,std,min,max,mean_r,ci_low_r,ci_high_r,mean_z,ci_low_z,ci_high_z,t_stat,p_value
intra:versatile_diffusion:emonet:alpha_+2_vs_alpha_0,982,0.3428725302219391,0.1888311505317688,-0.12509869039058685,0.8662357330322266,0.36128566690903546,0.3481583749603822,0.37427129376266666,0.3783637870681227,0.36334657368741347,0.3933810004488319,49.442959455050634,1.2706189725931954e-268
intra:versatile_diffusion:emonet:alpha_+4_vs_alpha_0,982,0.3809513747692108,0.15724340081214905,-0.26535841822624207,0.8111138939857483,0.3942246783912645,0.38358301464653316,0.4047616641434312,0.41679229637436893,0.4042540709933263,0.4293305217554116,65.23307589172117,0.0
intra:versatile_diffusion:memnet:alpha_-4_vs_alpha_0,982,0.2194952815771103,0.151591956615448,-0.2769083082675934,0.7693198919296265,0.22625942037727517,0.21617262812560953,0.2362979200033426,0.23024352207638954,0.21963760459986847,0.2408494395529106,42.60135596268034,2.4902496918888863e-225
intra:versatile_diffusion:memnet:alpha_-2_vs_alpha_0,982,0.4060419499874115,0.15652847290039062,-0.022356439381837845,0.8661226630210876,0.4213243836115909,0.41045180953952676,0.4320771810672118,0.44930115395380743,0.43615444984074836,0.4624478580668665,67.06638403036632,0.0
intra:versatile_diffusion:memnet:alpha_+2_vs_alpha_0,982,0.4251037836074829,0.14852790534496307,0.0879083201289177,0.8372763991355896,0.4389237547452995,0.4288369492293711,0.4489011320101057,0.47089695738113196,0.45847067410195075,0.4833232406603132,74.3650510532247,0.0
intra:versatile_diffusion:memnet:alpha_+4_vs_alpha_0,982,0.3547074794769287,0.14428706467151642,-0.10785667598247528,0.8030521273612976,0.3645479700986341,0.3549551767081887,0.37406400713891275,0.38212094579157907,0.3711019224948018,0.39313996908835636,68.05217164462256,0.0
alpha0_vs_originals:vdvae:emonet,982,0.2657265067100525,0.231815367937088,-0.4016950726509094,0.8692895174026489,0.28553759226550235,0.2696335341342063,0.3012859206627627,0.29370094349143633,0.2764685828993362,0.3109333040835365,33.44604839810468,2.7805339223299892e-164
alpha0_vs_originals:vdvae:memnet,982,0.2656010687351227,0.23261100053787231,-0.4116990864276886,0.8668048977851868,0.28552766247626443,0.2695724810083138,0.30132612270760667,0.2936901322758893,0.27640274423891886,0.31097752031285975,33.338359119129606,1.4986617734465568e-163
alpha0_vs_originals:versatile_diffusion:emonet,982,0.24238801002502441,0.19313010573387146,-0.2812890112400055,0.8200109601020813,0.25533572475059574,0.24216330534774363,0.26841403360383975,0.26111242299500037,0.24707090980855428,0.27515393618144646,36.49201701397117,6.944987720449932e-185
alpha0_vs_originals:versatile_diffusion:memnet,982,0.24088749289512634,0.19410857558250427,-0.2812871038913727,0.8398600220680237,0.25395880131318843,0.24069158347099626,0.2671311358518368,0.2596400210176737,0.24550809549220895,0.2737719465431384,36.05409025308361,6.17356271138897e-182
alpha0_vs_vdvae_i2i:vdvae:emonet,982,0.28924867510795593,0.2483820766210556,-0.4623952805995941,0.9079985022544861,0.31420157805013044,0.2970236166643121,0.3311762323792632,0.32520042812048955,0.30625204785314114,0.34414880838783796,33.67931600737307,7.244409856639368e-166
alpha0_vs_vdvae_i2i:vdvae:memnet,982,0.28906893730163574,0.24924692511558533,-0.47306105494499207,0.905490517616272,0.3141736276379602,0.2969390711285841,0.331203565146277,0.32516941642440794,0.3061593242922595,0.3441795085565564,33.566782608133686,4.2084514905526307e-165
alpha0_vs_vdvae_i2i:versatile_diffusion:emonet,982,0.2630225419998169,0.204809308052063,-0.3439146876335144,0.854535698890686,0.2788328266706004,0.264774115043977,0.2927730326936934,0.2864160566008718,0.2712355207829118,0.30159659241883185,37.02495217261044,1.8213080960943e-188
alpha0_vs_vdvae_i2i:versatile_diffusion:memnet,982,0.26134195923805237,0.20592547953128815,-0.3169901669025421,0.874974250793457,0.27730899438827555,0.26314200993393394,0.2913564096846097,0.284764521533549,0.2694811837351057,0.30004785933199224,36.56384960628934,2.2828668569024793e-185
