model,network,subject,alpha,n,ssim_mean,ssim_std
versatile_diffusion,emonet,subj01,alpha -4,982,0.09864123328351805,0.059580672249162615
versatile_diffusion,emonet,subj01,alpha -2,982,0.19913854982605292,0.10939047517437725
versatile_diffusion,emonet,subj01,alpha 2,982,0.17836163171933103,0.1086863005691203
versatile_diffusion,emonet,subj01,alpha 4,982,0.15191117874318222,0.09113396495213873
versatile_diffusion,emonet,subj02,alpha -4,982,0.13641635358121149,0.08415226766039464
versatile_diffusion,emonet,subj02,alpha -2,982,0.19211035963458953,0.10656702567813955
versatile_diffusion,emonet,subj02,alpha 2,982,0.18739721077245844,0.1145779994028731
versatile_diffusion,emonet,subj02,alpha 4,982,0.1690579212058237,0.10457167756157416
versatile_diffusion,emonet,subj05,alpha -4,982,0.11542811224525396,0.07180878694121388
versatile_diffusion,emonet,subj05,alpha -2,982,0.20135760411635314,0.114605564188382
versatile_diffusion,emonet,subj05,alpha 2,982,0.16975157102095742,0.10384989827493507
versatile_diffusion,emonet,subj05,alpha 4,982,0.18943677874483061,0.11066452644978483
versatile_diffusion,emonet,subj07,alpha -4,982,0.11231343241601939,0.07277638628529974
versatile_diffusion,emonet,subj07,alpha -2,982,0.19629583235018244,0.11147701870194006
versatile_diffusion,emonet,subj07,alpha 2,982,0.17807514339025357,0.10823868046807796
versatile_diffusion,emonet,subj07,alpha 4,982,0.17872611183081347,0.10601077182761402
