comparison,n,mean,std,min,max,mean_r,ci_low_r,ci_high_r,mean_z,ci_low_z,ci_high_z,t_stat,p_value
intra:vdvae:emonet:alpha_-4_vs_alpha_0,982,0.6615513563156128,0.13099847733974457,0.024100331589579582,0.9386152029037476,0.6828250246001952,0.6744468365230898,0.6910273837069991,0.8343878139750649,0.8188561829488631,0.8499194450012667,105.42294252886406,0.0
intra:vdvae:emonet:alpha_-2_vs_alpha_0,982,0.817731499671936,0.08572486788034439,0.35733747482299805,0.976797342300415,0.8354221395146566,0.8302802945398462,0.8404217885817139,1.20582300428314,1.1890380578174995,1.2226079507487804,140.97686560414806,0.0
intra:vdvae:emonet:alpha_+2_vs_alpha_0,971,0.788323163986206,0.11777019500732422,-0.49389711022377014,0.972730278968811,0.8120880051692544,0.8056129484321327,0.8183690732296586,1.1331306563845587,1.1144020570468087,1.1518592557223086,118.7312445888946,0.0
intra:vdvae:emonet:alpha_+4_vs_alpha_0,862,0.4910801649093628,0.19669224321842194,-0.29176250100135803,0.9094437956809998,0.5172194911906092,0.5037088705189137,0.5304771535288065,0.5725362696447125,0.5542636032527757,0.5908089360366493,61.497873797701324,2.762001e-317
intra:vdvae:memnet:alpha_-4_vs_alpha_0,846,0.4019884467124939,0.2082272320985794,-0.3139747381210327,0.9228728413581848,0.42685437429918277,0.41158880624158656,0.4418804869166943,0.456043865761846,0.43752257466171196,0.4745651568619801,48.328794113734425,1.9407164657365017e-245
intra:vdvae:memnet:alpha_-2_vs_alpha_0,974,0.7407950758934021,0.12265858054161072,0.12108037620782852,0.9712640643119812,0.7666911440102437,0.7588948750217418,0.7742676697681317,1.0122502639523523,0.9936039686412554,1.0308965592634491,106.53296086382416,0.0
intra:vdvae:memnet:alpha_+2_vs_alpha_0,982,0.7707750797271729,0.09693130105733871,0.35337284207344055,0.960954487323761,0.7890799982703991,0.78302670176755,0.7949838331637871,1.0689889381995075,1.0531466485773946,1.0848312278216203,132.41570849362918,0.0
intra:vdvae:memnet:alpha_+4_vs_alpha_0,981,0.5361946225166321,0.17542105913162231,-0.35872936248779297,0.9076347351074219,0.5606512907841874,0.5492990695495044,0.5717966024129391,0.633782541606315,0.6173769501446695,0.6501881330679604,75.81116539838499,0.0
intra:versatile_diffusion:emonet:alpha_-4_vs_alpha_0,982,0.08303742855787277,0.1333473175764084,-0.2361559420824051,0.570146918296814,0.08494412713513377,0.07637332294957759,0.09350237926037877,0.0851493211345468,0.07652233706368544,0.09377630520540817,19.368966128839077,5.006419865497646e-71
intra:versatile_diffusion:emonet:alpha_-2_vs_alpha_0,982,0.49846529960632324,0.1452159881591797,0.10262184590101242,0.8779851198196411,0.5147535319871259,0.5049711449457397,0.5244036967778193,0.5691755381124695,0.5559564751485102,0.5823946010764287,84.49476484566694,0.0
intra:versatile_diffusion:emonet:alpha_+2_vs_alpha_0,982,0.3550431728363037,0.17571565508842468,-0.2023373395204544,0.8470531105995178,0.37022218243073635,0.35838645786617834,0.3819389156240978,0.3886805479859631,0.3750333415904957,0.4023277543814305,55.88989486198968,3.67530565079099e-307
intra:versatile_diffusion:emonet:alpha_+4_vs_alpha_0,982,0.2843928039073944,0.15172332525253296,-0.2613609731197357,0.7281967401504517,0.29245844138041405,0.282529549115987,0.3023246754572372,0.30125254215208447,0.29042892683854316,0.3120761574656258,54.61885832300171,9.657739912287343e-300
intra:versatile_diffusion:memnet:alpha_-4_vs_alpha_0,982,0.29309093952178955,0.15316039323806763,-0.16490498185157776,0.7611418962478638,0.3023681201511221,0.292117682557874,0.3125490972632287,0.31212397315125273,0.3008799520948867,0.32336799420761875,54.47405718102186,6.850347870694192e-299
intra:versatile_diffusion:memnet:alpha_-2_vs_alpha_0,982,0.438930481672287,0.16225899755954742,0.046492986381053925,0.873629093170166,0.45690012711097205,0.4456736077117978,0.4679829529085364,0.49338651295691044,0.4792884937070016,0.5074845322068193,68.67733281576176,0.0
intra:versatile_diffusion:memnet:alpha_+2_vs_alpha_0,982,0.4632543623447418,0.14826920628547668,0.0631192997097969,0.8408122062683105,0.4782995212023247,0.4683606220692482,0.4881173879241425,0.5207770531153588,0.5079682179545455,0.5335858882761721,79.78595525302386,0.0
intra:versatile_diffusion:memnet:alpha_+4_vs_alpha_0,982,0.34990888833999634,0.14892445504665375,-0.11656378209590912,0.7490407228469849,0.35963646708292973,0.34991803687786943,0.3692774932347547,0.376468302054193,0.3653503520572299,0.38758625205115615,66.4489227683484,0.0
alpha0_vs_originals:vdvae:emonet,982,0.36349642276763916,0.22207406163215637,-0.25892820954322815,0.8609982132911682,0.3879539402510418,0.3729555655971596,0.40274962585152,0.40938920777544957,0.3918518179267519,0.42692659762414725,45.809513486444736,6.344281262199715e-246
alpha0_vs_originals:vdvae:memnet,982,0.36337628960609436,0.2216348499059677,-0.29233989119529724,0.8627093434333801,0.38776888668571946,0.3727948364384749,0.40254102909227285,0.40917138584551843,0.3916651328347182,0.42667763885631865,45.866573833799144,2.7584494376908464e-246
alpha0_vs_originals:versatile_diffusion:emonet,982,0.320144921541214,0.19186855852603912,-0.19474926590919495,0.8212679028511047,0.336587815476844,0.3235514462675036,0.3494964279933107,0.35023937292557156,0.3356087476336805,0.36486999821746263,46.977113163917856,2.7142899991514094e-253
alpha0_vs_originals:versatile_diffusion:memnet,982,0.3210162818431854,0.19104190170764923,-0.20173370838165283,0.8241772651672363,0.337363154336313,0.3243820385810501,0.35021722571703884,0.351114031499254,0.33653673659703937,0.3656913264014687,47.26672277699099,4.137560223402511e-255
alpha0_vs_vdvae_i2i:vdvae:emonet,982,0.3961777091026306,0.2346000373363495,-0.2810494899749756,0.8868330717086792,0.42645087222268446,0.41061105561327954,0.4420333774541034,0.45555056734854876,0.4363459747719879,0.47475515992510964,46.54957709621104,1.3297365428808168e-250
alpha0_vs_vdvae_i2i:vdvae:memnet,982,0.39604702591896057,0.2341783046722412,-0.3180554509162903,0.8884519934654236,0.426256519252864,0.4104368461719916,0.4418196958746475,0.4553130366462939,0.4361364549765864,0.47448961831600145,46.59326419137367,7.054253134342618e-251
alpha0_vs_vdvae_i2i:versatile_diffusion:emonet,982,0.3475700318813324,0.20072351396083832,-0.2131660133600235,0.847026526927948,0.36729421851250416,0.35362437314033013,0.3808072099522345,0.3852917644977673,0.3695800971637445,0.4010034318317901,48.12288958116075,1.8660472886884958e-260
alpha0_vs_vdvae_i2i:versatile_diffusion:memnet,982,0.3485868275165558,0.19985464215278625,-0.21228159964084625,0.8474667072296143,0.3681949717167252,0.35458430717814965,0.38164963469761903,0.3863333821062355,0.37067765383792867,0.4019891103745424,48.42539894485002,2.4617995858746387e-262
