comparison,n,mean,std,min,max,mean_r,ci_low_r,ci_high_r,mean_z,ci_low_z,ci_high_z,t_stat,p_value
intra:vdvae:emonet:alpha_-4_vs_alpha_0,982,0.6569896340370178,0.11664401739835739,0.2103630155324936,0.9203674793243408,0.6735126943726596,0.6660409046269532,0.680849338317635,0.8171445191731077,0.8035934292443977,0.8306956091018177,118.33382171101633,0.0
intra:vdvae:emonet:alpha_-2_vs_alpha_0,982,0.8192169666290283,0.08053890615701675,0.47958073019981384,0.9569549560546875,0.8349697776607125,0.8301412764635282,0.8396730453930833,1.2043273337964642,1.188590694791497,1.2200639728014313,150.18162771477395,0.0
intra:vdvae:emonet:alpha_+2_vs_alpha_0,979,0.8086778521537781,0.08228958398103714,0.3548884391784668,0.9582059383392334,0.8239985335782489,0.8190413822724175,0.8288326674921918,1.1691470198647256,1.1538982772426478,1.1843957624868033,150.45997469069528,0.0
intra:vdvae:emonet:alpha_+4_vs_alpha_0,927,0.570679783821106,0.1591346114873886,-0.43999025225639343,0.9047296047210693,0.5914699161879934,0.581267343105561,0.6014865497612224,0.6799238937843874,0.6643746272387367,0.6954731603300381,85.81565194952128,0.0
intra:vdvae:memnet:alpha_-4_vs_alpha_0,958,0.6243038773536682,0.15080174803733826,-0.0005573408561758697,0.9372149705886841,0.649825691462043,0.6398399822383042,0.6595920119040037,0.7749969324356887,0.7579027588886736,0.7920911059827037,88.97122594915709,0.0
intra:vdvae:memnet:alpha_-2_vs_alpha_0,982,0.8164913058280945,0.08670245110988617,0.4321182370185852,0.976525068283081,0.8352721726749165,0.8299198346304005,0.8404707592158196,1.205326745955436,1.1878787758825453,1.2227747160283267,135.56392418209214,0.0
intra:vdvae:memnet:alpha_+2_vs_alpha_0,982,0.8311907649040222,0.07619459927082062,0.48491254448890686,0.9721648097038269,0.8463288971661397,0.8417620009500539,0.8507746677435605,1.2430699719964877,1.2271888894192846,1.2589510545736908,153.60300697753675,0.0
intra:vdvae:memnet:alpha_+4_vs_alpha_0,982,0.6805766820907593,0.12049054354429245,0.11090105772018433,0.9482675194740295,0.6991809712253503,0.691636055901065,0.7065733020493887,0.8656963908446293,0.8510853489845175,0.8803074327047412,116.27026650424325,0.0
intra:versatile_diffusion:emonet:alpha_-4_vs_alpha_0,982,0.28241655230522156,0.1486077904701233,-0.09170553833246231,0.7648064494132996,0.29098729141396323,0.2809964309237228,0.3009150875755028,0.29964454788883216,0.28876359703761145,0.31052549874005286,54.04104984479601,2.4368180774608474e-296
intra:versatile_diffusion:emonet:alpha_-2_vs_alpha_0,982,0.4754543602466583,0.14200034737586975,0.14070995151996613,0.84332674741745,0.4899998684300403,0.48042931833354474,0.4994537333375699,0.5360601634694316,0.5235422731290323,0.5485780538098309,84.0362448457139,0.0
intra:versatile_diffusion:emonet:alpha_+2_vs_alpha_0,982,0.38543227314949036,0.14981092512607574,-0.1443575769662857,0.8358506560325623,0.39726220275445445,0.38728737144483993,0.407144042347624,0.42039387989865545,0.40860477861675887,0.43218298118055204,69.97774317838947,0.0
intra:versatile_diffusion:emonet:alpha_+4_vs_alpha_0,982,0.32217687368392944,0.14257928729057312,-0.1807185709476471,0.759537935256958,0.3303662503316125,0.3210404018213364,0.3396280368790639,0.3432393194301305,0.33280663224137946,0.3536720066188815,64.56320666655917,0.0
